Const,Title,sex_nudity,violence_gore,profanity,alcohol_drugs,intensity
tt5034838,Godzilla vs. Kong,None,Moderate,Mild,Mild,Moderate
tt0104348,Glengarry Glen Ross,None,None,Severe,Mild,None
tt11245972,Scream,Mild,Severe,Severe,Mild,Severe
tt0116629,Independence Day,Mild,Moderate,Mild,Mild,Moderate
tt1856101,Blade Runner 2049,Moderate,Moderate,Moderate,Mild,Moderate
tt1464335,Uncharted,None,Mild,Mild,Mild,Mild
tt1649418,The Gray Man,None,Severe,Moderate,None,Moderate
tt0388644,The Staircase,Moderate,Severe,Severe,Mild,Moderate
tt10648342,Thor: Love and Thunder,Mild,Moderate,Mild,None,Mild
tt2866360,Coherence,None,Mild,Moderate,Moderate,Moderate
tt11671006,The Man from Toronto,Mild,Moderate,Moderate,None,Mild
tt2304589,Defending Jacob,Mild,Mild,Moderate,Mild,Mild
tt0128853,You've Got Mail,None,None,Mild,Mild,None
tt0783233,Atonement,Mild,Moderate,Moderate,Mild,Moderate
tt0268978,A Beautiful Mind,Mild,Mild,Mild,Mild,Moderate
tt8041270,Jurassic World: Dominion,None,Moderate,Mild,None,Moderate
tt0790636,Dallas Buyers Club,Severe,Moderate,Severe,Severe,Moderate
tt1250777,Kick-Ass,Moderate,Severe,Severe,Moderate,Moderate
tt5164214,Ocean's Eight,Mild,None,Mild,Mild,None
tt8385148,Hitman's Wife's Bodyguard,Moderate,Severe,Severe,Mild,Moderate
tt4701182,Bumblebee,None,Moderate,Mild,None,Mild
tt0093779,The Princess Bride,None,Mild,Mild,None,Mild
tt13320622,The Lost City,Mild,Mild,Mild,Mild,Mild
tt5164432,"Love, Simon",Mild,None,Mild,Mild,None
tt0947798,Black Swan,Moderate,Severe,Moderate,Moderate,Severe
tt13640670,Man vs. Bee,Mild,Mild,None,None,Mild
tt9783600,Spiderhead,Moderate,Moderate,Moderate,Moderate,Moderate
tt8466564,Obi-Wan Kenobi,None,Moderate,None,Mild,Moderate
tt2126355,San Andreas,None,Moderate,Mild,None,Moderate
tt1483013,Oblivion,Mild,Moderate,Mild,Mild,Mild
tt0104257,A Few Good Men,None,Mild,Moderate,Mild,Mild
tt13352968,"Good Luck to You, Leo Grande",Severe,None,Mild,Mild,None
tt2278388,The Grand Budapest Hotel,Moderate,Moderate,Moderate,Mild,Mild
tt0086200,Risky Business,Moderate,None,Moderate,Moderate,None
tt0098635,When Harry Met Sally...,Mild,None,Moderate,Mild,None
tt19704638,Our Father,Moderate,None,Moderate,Mild,Mild
tt1745960,Top Gun: Maverick,None,Mild,Moderate,Mild,Moderate
tt1434447,Rocket Singh: Salesman of the Year,Mild,None,None,Mild,None
tt1877830,The Batman,Mild,Moderate,Moderate,Moderate,Severe
tt10234724,Moon Knight,None,Moderate,Mild,None,Moderate
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,None,Moderate,None,Mild,Moderate
tt7126948,Wonder Woman 1984,Mild,Mild,Mild,None,Mild
tt6111574,The Woman in the Window,None,Moderate,Moderate,Moderate,Moderate
tt0111161,The Shawshank Redemption,Mild,Moderate,Severe,Mild,Moderate
tt0286716,Hulk,Mild,Moderate,Mild,None,Moderate
tt0800080,The Incredible Hulk,Mild,Moderate,Mild,Mild,Moderate
tt9059760,Normal People,Severe,Mild,Moderate,Mild,Mild
tt3397884,Sicario,Mild,Severe,Severe,Moderate,Severe
tt13403046,Fresh,Moderate,Severe,Severe,Moderate,Severe
tt10366460,CODA,Mild,None,Moderate,Mild,None
tt11286314,Don't Look Up,Moderate,Mild,Severe,Moderate,Mild
tt11271038,Licorice Pizza,Mild,None,Moderate,Mild,None
tt1905041,Fast & Furious 6,Mild,Moderate,Moderate,Mild,Moderate
tt0405159,Million Dollar Baby,None,Moderate,Moderate,Mild,Moderate
tt5433138,F9: The Fast Saga,None,Moderate,Mild,Mild,Mild
tt2180339,Deep Water,Moderate,Moderate,Moderate,Mild,Mild
tt3526078,Schitt's Creek,Mild,None,Moderate,Mild,None
tt0332280,The Notebook,Moderate,Mild,Mild,Mild,Mild
tt5555260,This Is Us,Mild,None,Mild,Mild,Mild
tt1160419,Dune: Part One,None,Moderate,Mild,Mild,Moderate
tt2463208,The Adam Project,Mild,Mild,Mild,None,Mild
tt12801262,Luca,None,Mild,None,None,Mild
tt8097030,Turning Red,Mild,Mild,Mild,None,Mild
tt6856242,The King's Man,Mild,Severe,Moderate,Mild,Moderate
tt12789558,Belfast,None,Mild,Mild,Mild,Moderate
tt11893274,Downfall: The Case Against Boeing,None,None,None,None,Mild
tt3581652,West Side Story,Mild,Moderate,Mild,Mild,Moderate
tt2674426,Me Before You,Mild,None,Mild,Mild,Mild
tt5096470,Love Wedding Repeat,Mild,None,Moderate,Mild,None
tt1618434,Murder Mystery,Mild,Mild,Mild,Mild,Mild
tt2442560,Peaky Blinders,Severe,Severe,Severe,Severe,Severe
tt7657566,Death on the Nile,Mild,Moderate,Mild,Mild,Moderate
tt10293406,The Power of the Dog,Moderate,Moderate,Mild,Moderate,Mild
tt2953050,Encanto,None,Mild,None,None,Mild
tt8106534,6 Underground,Moderate,Severe,Severe,Mild,Severe
tt9421570,The Guilty,None,None,Severe,None,Moderate
tt3488710,The Walk,Mild,Mild,Mild,Mild,Moderate
tt9098872,The Rescue,None,None,Mild,Mild,Moderate
tt0097958,National Lampoon's Christmas Vacation,Mild,Mild,Moderate,Mild,None
tt1878870,The Edge of Seventeen,Moderate,Mild,Moderate,Mild,Mild
tt0103874,Dracula,Severe,Severe,Mild,Mild,Severe
tt8368512,The Courier,Mild,Mild,Mild,Mild,Mild
tt7740496,Nightmare Alley,Mild,Severe,Moderate,Moderate,Moderate
tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,None,None,None,None,None
tt11337862,Friends: The Reunion,None,None,Mild,None,None
tt0289879,The Butterfly Effect,Moderate,Severe,Severe,Moderate,Severe
tt3498820,Captain America: Civil War,None,Moderate,Mild,Mild,Moderate
tt1302006,The Irishman,None,Severe,Severe,Moderate,Moderate
tt0112384,Apollo 13,Mild,None,Mild,Mild,Mild
tt1631867,Edge of Tomorrow,Mild,Moderate,Mild,Mild,Moderate
tt1562872,Zindagi Na Milegi Dobara,Mild,None,Mild,Mild,None
tt2582802,Whiplash,None,Mild,Severe,Mild,Moderate
tt1518542,Sarabhai V/S Sarabhai,None,None,None,Mild,None
tt2381249,Mission: Impossible - Rogue Nation,Mild,Moderate,Mild,None,Moderate
tt1229238,Mission: Impossible - Ghost Protocol,Mild,Moderate,Mild,Mild,Moderate
tt0976026,Cheeni Kum,None,None,Mild,Mild,Mild
tt0870154,Jungle Cruise,None,Moderate,None,Mild,Moderate
tt0338013,Eternal Sunshine of the Spotless Mind,Mild,Mild,Moderate,Mild,Mild
tt11540284,8-Bit Christmas,None,Mild,Mild,None,None
tt0066327,Santa Claus Is Comin' to Town,None,None,None,None,Mild
tt10160804,Hawkeye,None,Moderate,Mild,Mild,Mild
tt10872600,Spider-Man: No Way Home,None,Moderate,Mild,None,Moderate
tt14315756,Single All the Way,None,None,None,Mild,None
tt0319343,Elf,Mild,Mild,Mild,Mild,None
tt10187208,A Boy Called Christmas,None,Mild,None,None,Mild
tt7991608,Red Notice,Mild,Mild,Moderate,None,Mild
tt0338348,The Polar Express,None,None,None,None,Mild
tt8721424,"tick, tick... BOOM!",Mild,None,Mild,Mild,None
tt9620288,King Richard,None,Moderate,Moderate,Mild,Mild
tt3480822,Black Widow,None,Moderate,Mild,Mild,Moderate
tt2097298,"McFarland, USA",None,Mild,Mild,Mild,Mild
tt0993840,Army of the Dead,Mild,Severe,Severe,Mild,Severe
tt1070874,The Trial of the Chicago 7,None,Moderate,Moderate,Mild,Mild
tt13024674,Army of Thieves,None,Mild,Moderate,None,Mild
tt0067992,Willy Wonka & the Chocolate Factory,None,Mild,None,Mild,Moderate
tt0338094,The Haunted Mansion,Mild,Mild,Mild,Mild,Moderate
tt1385826,The Adjustment Bureau,Mild,Mild,Mild,Mild,Mild
tt5606664,Doctor Sleep,Mild,Severe,Moderate,Moderate,Severe
tt7668870,Searching,None,Mild,Mild,Mild,Mild
tt0454848,Inside Man,Mild,Moderate,Severe,Mild,Moderate
tt2382320,No Time to Die,Mild,Moderate,Mild,Mild,Moderate
tt9376612,Shang-Chi and the Legend of the Ten Rings,None,Moderate,Mild,Mild,Mild
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,Mild,Mild,Moderate,Moderate,None
tt11852724,Stanley Tucci: Searching for Italy,None,None,Mild,Mild,None
tt9484998,Palm Springs,Moderate,Mild,Severe,Moderate,Mild
tt3495030,Dum Laga Ke Haisha,Mild,None,None,Mild,Mild
tt3228774,Cruella,None,Mild,Mild,Mild,Mild
tt6264654,Free Guy,Mild,Moderate,Moderate,None,Mild
tt10168312,What If...?,None,Moderate,Mild,Mild,Moderate
tt0106977,The Fugitive,Mild,Moderate,Mild,Mild,Moderate
tt2397535,Predestination,Moderate,Moderate,Moderate,Mild,Mild
tt3896198,Guardians of the Galaxy Vol. 2,Mild,Moderate,Mild,Mild,Moderate
tt0103064,Terminator 2: Judgment Day,Mild,Severe,Moderate,Mild,Moderate
tt2452244,Isn't It Romantic,Mild,Mild,Mild,Mild,None
tt9777666,The Tomorrow War,None,Moderate,Mild,Mild,Moderate
tt8510382,High School Musical: The Musical: The Series,None,None,Mild,None,None
tt1392214,Prisoners,None,Severe,Severe,Mild,Severe
tt1321510,In the Heights,Mild,None,Mild,Mild,None
tt5109280,Raya and the Last Dragon,None,Mild,None,None,Mild
tt0258463,The Bourne Identity,Mild,Moderate,Moderate,Mild,Moderate
tt0107798,The Pelican Brief,Mild,Moderate,Mild,Mild,Mild
tt0118884,Contact,Mild,Mild,Mild,Mild,Mild
tt9331982,The Imagineering Story,None,None,None,None,None
tt0107290,Jurassic Park,None,Moderate,Mild,Mild,Moderate
tt8760280,Finding You,None,None,Mild,Mild,None
tt2235695,Rebecca,Mild,None,None,Mild,Mild
tt7737786,Greenland,None,Moderate,Mild,None,Moderate
tt1189340,The Lincoln Lawyer,Mild,Moderate,Moderate,Moderate,Moderate
tt1453405,Monsters University,None,None,None,None,Mild
tt0198781,"Monsters, Inc.",None,Mild,None,None,Mild
tt7979580,The Mitchells vs. the Machines,None,Mild,None,None,Mild
tt0042332,Cinderella,None,Mild,None,None,Mild
tt0096754,The Abyss,Mild,Mild,Moderate,None,Moderate
tt10288566,Another Round,Mild,Mild,Mild,Severe,Mild
tt9208876,The Falcon and the Winter Soldier,None,Moderate,Mild,Mild,Moderate
tt0758766,Music and Lyrics,Mild,None,Mild,None,None
tt9664108,Voyagers,Mild,Moderate,Mild,None,Mild
tt3741700,Godzilla: King of the Monsters,None,Moderate,Moderate,None,Moderate
tt2975590,Batman v Superman: Dawn of Justice,Mild,Moderate,Moderate,Mild,Moderate
tt10986410,Ted Lasso,Mild,None,Severe,Mild,None
tt12361974,Zack Snyder's Justice League,None,Moderate,Mild,Mild,Moderate
tt1083452,Eddie the Eagle,Mild,Mild,Mild,Mild,Mild
tt8637428,The Farewell,None,None,Mild,Mild,None
tt9140560,WandaVision,None,Mild,None,None,Moderate
tt1086064,Bill & Ted Face the Music,None,Mild,Mild,Mild,Mild
tt12688688,Tiger,Moderate,Mild,Moderate,Moderate,Severe
tt11169050,Supernova,Mild,None,Mild,Mild,None
tt0352248,Cinderella Man,None,Moderate,Moderate,Mild,Moderate
tt10016180,The Little Things,Moderate,Moderate,Moderate,Mild,Moderate
tt0116209,The English Patient,Moderate,Moderate,Mild,Mild,Moderate
tt3661210,The Dig,Mild,None,None,Mild,Mild
tt3731562,Kong: Skull Island,None,Moderate,Moderate,None,Moderate
tt2584384,Jojo Rabbit,None,Mild,Moderate,Mild,Moderate
tt0062622,2001: A Space Odyssey,None,Mild,None,None,Moderate
tt12873192,India from Above,None,None,None,None,None
tt1327773,The Butler,Mild,Moderate,Moderate,Mild,Moderate
tt0138524,Intolerable Cruelty,Mild,Mild,Mild,Mild,None
tt0974015,Justice League,Mild,Moderate,Mild,Mild,Mild
tt9606374,On the Rocks,None,None,Mild,Mild,None
tt4779682,The Meg,None,Moderate,Mild,Mild,Moderate
tt1677720,Ready Player One,Mild,Moderate,Moderate,None,Mild
tt0039628,Miracle on 34th Street,None,None,None,Mild,None
tt9308382,The High Note,None,None,Mild,None,None
tt10199914,The Boys in the Band,Moderate,None,Severe,Moderate,None
tt1907668,Flight,Severe,Moderate,Severe,Severe,Moderate
tt1049413,Up,None,Mild,None,None,Moderate
tt2948372,Soul,None,None,None,None,Mild
tt1375666,Inception,None,Moderate,Mild,Mild,Moderate
tt6723592,Tenet,None,Moderate,Mild,Mild,Moderate
tt11057644,The Christmas Chronicles: Part Two,None,Mild,None,None,Mild
tt0099785,Home Alone,None,Mild,Mild,Mild,Mild
tt8522006,Happiest Season,Mild,None,None,Mild,None
tt0457939,The Holiday,Mild,None,Mild,Mild,None
tt0286788,What a Girl Wants,Mild,None,None,None,None
tt5097410,Noelle,None,None,None,None,None
tt2990140,The Christmas Chronicles,None,Mild,Mild,Mild,Mild
tt9866072,Holidate,Moderate,Mild,Moderate,Mild,None
tt11015214,Class Action Park,Mild,Mild,Severe,Mild,Mild
tt0087332,Ghostbusters,Mild,Mild,Mild,Mild,Mild
tt5052448,Get Out,Mild,Severe,Severe,Mild,Severe
tt1259521,The Cabin in the Woods,Moderate,Severe,Moderate,Moderate,Severe
tt13143964,Borat Subsequent Moviefilm,Severe,Mild,Moderate,None,None
tt0443453,Borat,Severe,Mild,Moderate,Mild,Mild
tt1409024,Men in Black³,Mild,Moderate,Mild,Mild,Moderate
tt6473066,Clouds,Mild,None,Mild,None,Moderate
tt0094006,Some Kind of Wonderful,Mild,Mild,Moderate,Mild,None
tt1051906,The Invisible Man,None,Severe,Moderate,Mild,Severe
tt8688634,21 Bridges,None,Severe,Severe,Moderate,Moderate
tt7846844,Enola Holmes,None,Mild,None,None,Mild
tt0047396,Rear Window,Mild,Mild,None,Mild,Mild
tt0167261,The Lord of the Rings: The Two Towers,None,Moderate,None,Mild,Moderate
tt4955642,The Good Place,Mild,Mild,Mild,Mild,None
tt0051201,Witness for the Prosecution,None,Mild,None,Mild,Mild
tt7798634,Ready or Not,None,Severe,Severe,Moderate,Moderate
tt8206668,Bad Education,Mild,None,Moderate,Mild,None
tt4566758,Mulan,None,Mild,None,None,Mild
tt6394270,Bombshell,Mild,None,Moderate,None,Mild
tt8544498,The Way Back,None,Mild,Severe,Severe,Mild
tt2980648,The Hundred-Foot Journey,None,Mild,Mild,Mild,Mild
tt0120737,The Lord of the Rings: The Fellowship of the Ring,None,Moderate,None,Mild,Moderate
tt0795421,Mamma Mia!,Mild,None,Mild,Mild,None
tt0126029,Shrek,Mild,Mild,Mild,Mild,Mild
tt0317219,Cars,None,None,None,None,Mild
tt8503618,Hamilton,Mild,Mild,Moderate,Mild,Mild
tt0878804,The Blind Side,Mild,Mild,Mild,Mild,Mild
tt9243946,El Camino,None,Moderate,Moderate,Moderate,Moderate
tt0119978,The Rainmaker,Mild,Mild,Mild,Mild,Mild
tt3829868,Looking for Alaska,Mild,Mild,Moderate,Moderate,Mild
tt1454029,The Help,None,Mild,Moderate,Mild,Mild
tt8760684,Apollo 11,None,None,None,None,None
tt0120647,Deep Impact,None,Mild,Moderate,Mild,Moderate
tt9612516,Space Force,None,None,Moderate,Mild,None
tt0448115,Shazam!,None,Moderate,Mild,Mild,Moderate
tt1190634,The Boys,Severe,Severe,Severe,Severe,Severe
tt0119282,Hercules,Mild,Mild,None,Mild,Mild
tt5580266,The Hate U Give,None,Moderate,Moderate,Mild,Severe
tt8079248,Yesterday,Mild,Mild,Mild,Mild,None
tt7349662,BlacKkKlansman,Mild,Moderate,Severe,Mild,Moderate
tt0257044,Road to Perdition,None,Moderate,Moderate,Mild,Moderate
tt5503686,Hustlers,Moderate,Mild,Moderate,Severe,Mild
tt8404614,The Two Popes,None,Mild,Mild,Mild,Mild
tt0096928,Bill & Ted's Excellent Adventure,Mild,Mild,Mild,Mild,None
tt0117887,That Thing You Do!,None,None,Mild,Mild,None
tt1598778,Contagion,None,Moderate,Mild,Mild,Moderate
tt1981128,Geostorm,Mild,Mild,Mild,None,Moderate
tt0147800,10 Things I Hate About You,Mild,Mild,Mild,Mild,None
tt1135503,Julie & Julia,Mild,None,Mild,Mild,None
tt7775622,Free Solo,None,None,Mild,None,Moderate
tt3881784,Stronger,Moderate,Moderate,Severe,Moderate,Moderate
tt2503944,Burnt,Mild,Mild,Severe,Mild,Mild
tt1401152,Unknown,Mild,Moderate,Mild,Mild,Moderate
tt1821694,RED 2,Mild,Moderate,Moderate,Mild,Mild
tt1981115,Thor: The Dark World,Mild,Moderate,Mild,None,Mild
tt0311429,The League of Extraordinary Gentlemen,None,Moderate,Mild,Mild,Mild
tt0338526,Van Helsing,Mild,Moderate,Mild,Mild,Moderate
tt4364194,The Peanut Butter Falcon,None,Mild,Moderate,Mild,Mild
tt7366338,Chernobyl,Mild,Moderate,Mild,Mild,Severe
tt5687612,Fleabag,Moderate,Mild,Severe,Moderate,Mild
tt2948356,Zootopia,None,Mild,None,Mild,Mild
tt1772341,Wreck-It Ralph,None,Mild,None,Mild,Mild
tt0088847,The Breakfast Club,Mild,Mild,Moderate,Moderate,None
tt6266538,Vice,Mild,Moderate,Moderate,Mild,Moderate
tt4209788,Molly's Game,None,Mild,Moderate,Moderate,Moderate
tt0210945,Remember the Titans,None,Mild,Mild,None,Mild
tt4912910,Mission: Impossible - Fallout,None,Moderate,Moderate,None,Moderate
tt6320628,Spider-Man: Far from Home,None,Moderate,Mild,None,Moderate
tt6285944,The Banker,None,None,Mild,Moderate,Mild
tt0091042,Ferris Bueller's Day Off,Mild,Mild,Moderate,Mild,None
tt0454921,The Pursuit of Happyness,None,None,Mild,Mild,Mild
tt0114709,Toy Story,None,Mild,None,None,Mild
tt0109830,Forrest Gump,Moderate,Moderate,Moderate,Moderate,Moderate
tt0103241,What About Bob?,None,Mild,Mild,None,None
tt2096673,Inside Out,None,None,None,None,Mild
tt6450804,Terminator: Dark Fate,Mild,Moderate,Moderate,Mild,Moderate
tt0398286,Tangled,None,Mild,None,Mild,Mild
tt7767422,Sex Education,Severe,Mild,Severe,Moderate,Mild
tt1675434,The Intouchables,Mild,Mild,Moderate,Moderate,Mild
tt1489887,Booksmart,Moderate,None,Severe,Moderate,None
tt0332379,School of Rock,None,None,Mild,Mild,None
tt5884052,Pokémon: Detective Pikachu,None,Mild,Mild,Mild,Mild
tt0910970,WALL·E,None,Mild,None,None,Mild
tt0097757,The Little Mermaid,Mild,Mild,None,None,Mild
tt7146812,Onward,None,Mild,None,None,Mild
tt1285241,Don 2,None,Moderate,Mild,Mild,Moderate
tt0461936,Don,Mild,Moderate,Mild,Moderate,Mild
tt8367814,The Gentlemen,Mild,Moderate,Severe,Moderate,Mild
tt4916630,Just Mercy,None,Mild,Mild,Mild,Moderate
tt8579674,1917.0,None,Severe,Moderate,Mild,Severe
tt6751668,Parasite,Moderate,Severe,Moderate,Mild,Moderate
tt0458339,Captain America: The First Avenger,Mild,Moderate,Mild,None,Mild
tt7653254,Marriage Story,Mild,Mild,Moderate,Mild,Mild
tt0810900,High School Musical 2,None,None,None,None,None
tt8111088,The Mandalorian,None,Moderate,None,None,Moderate
tt1255919,Holmes & Watson,Mild,Mild,Moderate,Moderate,Mild
tt0309698,Identity,None,Severe,Moderate,None,Moderate
tt0120762,Mulan,Mild,Mild,None,None,Mild
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,None,Moderate,Mild,None,Moderate
tt3281548,Little Women,None,None,None,Mild,None
tt4520988,Frozen II,None,Mild,None,None,Mild
tt2283336,Men in Black: International,Mild,Mild,Mild,Mild,Mild
tt0120912,Men in Black II,Mild,Moderate,Mild,Mild,Mild
tt0119654,Men in Black,Mild,Moderate,Moderate,Mild,Moderate
tt2709692,The Grinch,None,None,None,None,None
tt3224458,A Beautiful Day in the Neighborhood,None,None,Mild,None,None
tt7131622,Once Upon a Time... in Hollywood,Mild,Severe,Severe,Moderate,Moderate
tt0430634,Stick It,None,None,Mild,Mild,None
tt2294629,Frozen,None,Mild,None,None,Mild
tt0107688,The Nightmare Before Christmas,None,Mild,None,None,Moderate
tt4729430,Klaus,None,None,None,None,Mild
tt3920596,Big Little Lies,Severe,Moderate,Moderate,Mild,Moderate
tt0093748,"Planes, Trains & Automobiles",Mild,None,Moderate,Mild,None
tt8262802,The Holiday Calendar,None,None,None,None,None
tt8623904,Last Christmas,Mild,None,Mild,Mild,None
tt0081505,The Shining,Moderate,Severe,Moderate,Mild,Severe
tt0094137,Three Men and a Baby,Mild,None,Mild,Mild,Mild
tt0481141,No Reservations,Mild,Mild,Mild,Mild,Mild
tt1454468,Gravity,None,Moderate,Mild,None,Moderate
tt1560220,Zombieland: Double Tap,Mild,Severe,Severe,Moderate,Moderate
tt7286456,Joker,Mild,Severe,Moderate,Moderate,Severe
tt3846674,To All the Boys I've Loved Before,Mild,None,Mild,None,None
tt2066051,Rocketman,Moderate,Mild,Moderate,Severe,Moderate
tt9358228,Untouchable,Mild,Mild,Moderate,None,Severe
tt8130968,Badla,None,Mild,None,Mild,Mild
tt0852713,The House Bunny,Mild,None,Moderate,Mild,None
tt0093010,Fatal Attraction,Moderate,Moderate,Moderate,Mild,Severe
tt6806448,Fast & Furious Presents: Hobbs & Shaw,Mild,Moderate,Moderate,Mild,Moderate
tt6105098,The Lion King,None,Mild,None,None,Moderate
tt2883512,Chef,None,None,Moderate,Mild,None
tt1979376,Toy Story 4,None,Mild,None,None,Mild
tt0383216,The Pink Panther,Mild,Mild,Mild,Mild,None
tt1411238,No Strings Attached,Moderate,Mild,Moderate,Mild,None
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,Moderate,Severe,Mild,None,Moderate
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,Moderate,Moderate,None,Mild,Severe
tt2085059,Black Mirror,Severe,Severe,Severe,Mild,Severe
tt6628394,Bad Times at the El Royale,Mild,Severe,Moderate,Moderate,Moderate
tt0361748,Inglourious Basterds,Mild,Severe,Severe,Mild,Severe
tt6139732,Aladdin,None,Mild,None,None,Mild
tt0944947,Game of Thrones,Severe,Severe,Severe,Moderate,Severe
tt2798920,Annihilation,Mild,Severe,Moderate,Mild,Severe
tt1219289,Limitless,Moderate,Moderate,Moderate,Severe,Moderate
tt0280707,Gosford Park,Mild,Mild,Mild,Mild,None
tt4881806,Jurassic World: Fallen Kingdom,None,Moderate,Mild,Mild,Moderate
tt3460252,The Hateful Eight,Moderate,Severe,Severe,Mild,Moderate
tt0063404,Padosan,None,None,None,None,None
tt0988045,Sherlock Holmes,Mild,Moderate,Mild,Mild,Moderate
tt1515091,Sherlock Holmes: A Game of Shadows,Mild,Moderate,Mild,Moderate,Moderate
tt2481498,"Extremely Wicked, Shockingly Evil and Vile",Moderate,Moderate,Moderate,Moderate,Moderate
tt1051904,Goosebumps,None,Mild,Mild,None,Moderate
tt3209826,Patel Ki Punjabi Shaadi,None,Mild,Mild,Mild,Mild
tt1259571,The Twilight Saga: New Moon,Mild,Mild,None,None,Moderate
tt3159708,Welcome Back,Mild,Moderate,None,None,Mild
tt0357413,Anchorman: The Legend of Ron Burgundy,Moderate,Mild,Moderate,Mild,Mild
tt0290095,The Tuxedo,Mild,Mild,Mild,Mild,Mild
tt2194499,About Time,Mild,Mild,Moderate,Mild,Mild
tt0280720,The Guru,Moderate,None,Severe,Mild,None
tt1279935,Date Night,Mild,Mild,Moderate,Mild,Mild
tt5712554,The Grand Tour,Mild,Mild,Moderate,Mild,None
tt3045616,Mortdecai,Mild,Mild,Moderate,Mild,None
tt2084970,The Imitation Game,Mild,Mild,Mild,Mild,Mild
tt3315342,Logan,Mild,Severe,Severe,Moderate,Severe
tt7098658,Raazi,Mild,Mild,None,Mild,Moderate
tt0375912,Layer Cake,Moderate,Severe,Severe,Severe,Moderate
tt0044079,Strangers on a Train,None,Mild,None,Mild,Moderate
tt0099088,Back to the Future Part III,None,Mild,Mild,Mild,Mild
tt0115685,The Birdcage,Mild,None,Moderate,Mild,None
tt0414982,Final Destination 3,Moderate,Severe,Severe,None,Severe
tt0195714,Final Destination,Mild,Severe,Moderate,Mild,Severe
tt0371724,The Hitchhiker's Guide to the Galaxy,None,Mild,Mild,Mild,Mild
tt3083008,The Program,None,None,Mild,Moderate,None
tt6921996,Johnny English Strikes Again,Mild,Mild,Mild,Mild,None
tt0167190,Hellboy,None,Moderate,Mild,Mild,Moderate
tt0114069,Outbreak,None,Moderate,Moderate,None,Moderate
tt7493974,Bodyguard,Moderate,Moderate,Moderate,Mild,Moderate
tt6077448,Sacred Games,Severe,Severe,Severe,Severe,Severe
tt0118541,8 Heads in a Duffel Bag,None,Mild,Severe,Mild,None
tt0331632,Scooby-Doo 2: Monsters Unleashed,None,Mild,Mild,Mild,Mild
tt7778680,Photograph,Mild,None,Mild,Mild,Mild
tt0276751,About a Boy,Mild,Mild,Moderate,Mild,Mild
tt0095031,Dirty Rotten Scoundrels,Mild,None,Mild,Mild,None
tt3778644,Solo: A Star Wars Story,None,Mild,Mild,Mild,Mild
tt0111503,True Lies,Mild,Moderate,Moderate,Mild,Moderate
tt2854926,Tag,Moderate,Mild,Severe,Moderate,None
tt8108198,Andhadhun,Mild,Moderate,Mild,Mild,Moderate
tt1714832,Do Dooni Chaar,None,None,Mild,None,Mild
tt0452623,Gone Baby Gone,Mild,Severe,Severe,Moderate,Moderate
tt6452574,Sanju,Moderate,Mild,Mild,Severe,Moderate
tt0437238,Hulchul,None,Moderate,None,None,None
tt1477834,Aquaman,None,Moderate,Mild,Mild,Mild
tt1638355,The Man from U.N.C.L.E.,Mild,Moderate,Mild,Mild,Mild
tt0381061,Casino Royale,Moderate,Moderate,Mild,Mild,Moderate
tt0240772,Ocean's Eleven,Mild,Mild,Moderate,Mild,Mild
tt0438488,Terminator Salvation,Mild,Moderate,Moderate,None,Moderate
tt0313911,Agent Cody Banks,Mild,Moderate,None,Mild,Moderate
tt0358349,Agent Cody Banks 2: Destination London,Mild,Mild,Mild,Mild,None
tt0327437,Around the World in 80 Days,Mild,Mild,None,Mild,Mild
tt4555426,Darkest Hour,None,Mild,Mild,Moderate,Mild
tt0259711,Vanilla Sky,Moderate,Moderate,Moderate,Mild,Moderate
tt2388771,Mowgli: Legend of the Jungle,None,Moderate,None,Mild,Moderate
tt6966692,Green Book,Mild,Mild,Moderate,Moderate,Mild
tt0078788,Apocalypse Now,Moderate,Severe,Severe,Moderate,Severe
tt0119217,Good Will Hunting,Mild,Mild,Severe,Mild,Mild
tt0088247,The Terminator,Moderate,Severe,Moderate,Mild,Moderate
tt0337978,Live Free or Die Hard,Mild,Moderate,Moderate,None,Moderate
tt1632701,Suits,Mild,Mild,Moderate,Moderate,None
tt1727824,Bohemian Rhapsody,Mild,None,Mild,Moderate,Mild
tt0216216,The 6th Day,Mild,Moderate,Moderate,Mild,Moderate
tt2788432,American Crime Story,Moderate,Severe,Severe,Moderate,Severe
tt0477348,No Country for Old Men,None,Severe,Mild,Mild,Severe
tt1213641,First Man,None,Mild,Mild,Mild,Moderate
tt0815236,She's Out of My League,Mild,Mild,Severe,Mild,None
tt1517451,A Star Is Born,Moderate,Mild,Severe,Severe,Moderate
tt0099810,The Hunt for Red October,None,Mild,Mild,Mild,Mild
tt4430212,Drishyam,Mild,Moderate,None,None,Moderate
tt5270948,Chappaquiddick,None,Mild,Mild,Mild,Moderate
tt1270797,Venom,Mild,Moderate,Moderate,Mild,Moderate
tt5607096,"Juliet, Naked",Mild,None,Moderate,Mild,None
tt5074352,Dangal,None,Mild,Mild,None,None
tt0116695,Jerry Maguire,Moderate,Mild,Moderate,Mild,None
